timestamp,T1,T2,T3,fluid_in,fluid_out,P_in,P_out,heater_power,pump_power,time_only,fluid_in_C,fluid_out_C,Q_dot,efficiency,delta_p,delta_T
2025-05-23 15:47:12.941812,246.7714221018861,257.6093565300547,246.7714221018861,426.52186008440685,53.77178455425605,,,0,,15:47:12,,,,,,
2025-05-23 15:47:13.942841,246.7714221018861,246.7714221018861,237.7259664136401,312.3756795479892,53.65953240943776,,,8,,15:47:13,,,,,,
2025-05-23 15:47:14.943571,237.7259664136401,271.01235118159354,237.7259664136401,312.3756795479892,53.77178455425605,,,4,,15:47:14,,,,,,
2025-05-23 15:47:15.944189,246.7714221018861,246.7714221018861,246.7714221018861,349.9147799075381,53.65953240943776,,,5,,15:47:15,,,,,,
2025-05-23 15:47:16.944813,246.7714221018861,246.7714221018861,229.99710509039917,312.3756795479892,53.77178455425605,,,6,,15:47:16,,,,,,
2025-05-23 15:47:17.945442,237.7259664136401,246.7714221018861,246.7714221018861,312.3756795479892,53.77178455425605,,,5,,15:47:17,,,,,,
2025-05-23 15:47:18.946096,246.7714221018861,246.7714221018861,229.99710509039917,312.3756795479892,53.54746866646696,,,6,,15:47:18,,,,,,
2025-05-23 15:47:19.947150,237.7259664136401,257.6093565300547,237.7259664136401,312.3756795479892,53.65953240943776,,,9,,15:47:19,,,,,,
2025-05-23 15:47:20.948170,246.7714221018861,257.6093565300547,246.7714221018861,288.3492588429451,53.88422654553801,,,9,,15:47:20,,,,,,
2025-05-23 15:47:21.949363,237.7259664136401,237.7259664136401,246.7714221018861,312.3756795479892,54.10968589664827,,,6,,15:47:21,,,,,,
2025-05-23 15:47:22.950796,229.99710509039917,257.6093565300547,237.7259664136401,271.01235118159354,54.44933547524835,,,13,,15:47:22,,,,,,
2025-05-23 15:47:23.952145,246.7714221018861,237.7259664136401,237.7259664136401,288.3492588429451,54.56294745716593,,,6,,15:47:23,,,,,,
2025-05-23 15:47:24.953460,223.2723686655072,246.7714221018861,229.99710509039917,288.3492588429451,54.44933547524835,,,4,,15:47:24,,,,,,
2025-05-23 15:47:25.954892,246.7714221018861,257.6093565300547,237.7259664136401,312.3756795479892,54.67675968791423,,,0,,15:47:25,,,,,,
2025-05-23 15:47:26.956220,237.7259664136401,246.7714221018861,237.7259664136401,426.52186008440685,54.33592222416081,,,0,,15:47:26,,,,,,
2025-05-23 15:47:27.957492,246.7714221018861,246.7714221018861,229.99710509039917,426.52186008440685,54.10968589664827,,,0,,15:47:27,,,,,,
2025-05-23 15:47:28.958893,229.99710509039917,237.7259664136401,237.7259664136401,349.9147799075381,53.99685983801373,,,1,,15:47:28,,,,,,
2025-05-23 15:47:29.960004,229.99710509039917,246.7714221018861,229.99710509039917,426.52186008440685,53.99685983801373,,,0,,15:47:29,,,,,,
2025-05-23 15:47:30.961379,246.7714221018861,246.7714221018861,237.7259664136401,349.9147799075381,53.99685983801373,,,4,,15:47:30,,,,,,
2025-05-23 15:47:31.962800,229.99710509039917,237.7259664136401,237.7259664136401,288.3492588429451,53.99685983801373,,,10,,15:47:31,,,,,,
2025-05-23 15:47:32.964115,237.7259664136401,237.7259664136401,229.99710509039917,246.7714221018861,53.88422654553801,,,27,,15:47:32,,,,,,
2025-05-23 15:47:33.965554,223.2723686655072,229.99710509039917,229.99710509039917,288.3492588429451,53.88422654553801,,,11,,15:47:33,,,,,,
2025-05-23 15:47:34.966267,257.6093565300547,257.6093565300547,246.7714221018861,271.01235118159354,53.88422654553801,,,12,,15:47:34,,,,,,
